plotly|5.10.0|False|_plotly_future_|0%|An open-source, interactive data visualization library for Python|7282611
plotly|5.10.0|False|_plotly_utils|7%|An open-source, interactive data visualization library for Python|7282611
plotly|5.10.0|False|jupyterlab_plotly|0%|An open-source, interactive data visualization library for Python|7282611
plotly|5.10.0|False|plotly|49.1%|An open-source, interactive data visualization library for Python|7282611
widgetsnbextension|4.0.3|False|widgetsnbextension|0%|Jupyter interactive widgets for Jupyter Notebook|7201405
sagemaker|2.112.2|False|sagemaker|36.4%|Open source library for training and deploying models on Amazon SageMaker.|7152716
responses|0.22.0|True|responses|24.4%|A utility library for mocking out the `requests` Python library.|7121272
pathlib2|2.3.7.post1|False|pathlib2|8%|Object-oriented filesystem paths|7119234
arrow|1.2.3|True|arrow|38.4%|Better dates & times for Python|7094858
fuzzywuzzy|0.18.0|False|fuzzywuzzy|24.6%|Fuzzy string matching in python|7076468
sphinx|5.3.0|True|sphinx|47.7%|Python documentation generator|7056238
tokenizers|0.13.1|False|tokenizers|16.3%|Fast and Customizable Tokenizers|7048130
croniter|1.3.7|False|croniter|31.4%|croniter provides iteration for datetime object with cron like format|6978106
snowballstemmer|2.2.0|False|snowballstemmer|36.8%|This package provides 29 stemmers for 28 languages generated from Snowball algorithms.|6966387
astunparse|1.6.3|False|astunparse|12.1%|An AST unparser for Python|6893020
watchdog|2.1.9|False|watchdog|25.6%|Filesystem events monitoring|6853809
terminado|0.16.0|True|terminado|19%|Tornado websocket backend for the Xterm.js Javascript terminal emulator library.|6795711
tinycss2|1.2.1|False|tinycss2|29%|A tiny CSS parser|6652089
knack|0.10.0|False|knack|16.3%|A Command-Line Interface framework|6599951
typer|0.4.2|True|typer|72%|Typer, build great CLIs. Easy to code. Based on Python type hints.|6572466
dulwich|0.20.46|True|dulwich|11.5%|Python Git Library|6487085
deepdiff|6.2.1|False|deepdiff|22.6%|Deep Difference and Search of any Python object/data. Recreate objects by adding adding deltas to each other.|6482340
pipenv|2022.10.12|False|pipenv|35.3%|Python Development Workflow for Humans.|6463599
setproctitle|1.3.2|True|setproctitle|66.7%|A Python module to customize the process title|6378683
prettytable|3.4.1|False|prettytable|23.2%|A simple Python library for easily displaying tabular data in a visually appealing ASCII table format|6329769
sendgrid|6.9.7|False|sendgrid|14.4%|Twilio SendGrid library for Python|6325414
sendgrid|6.9.7|False|test|2.7%|Twilio SendGrid library for Python|6325414
pycountry|22.3.5|False|pycountry|20.5%|ISO country, subdivision, language, currency and script definitions and their translations|6282670
inflection|0.5.1|True|inflection|86.7%|A port of Ruby on Rails inflector to Python|6255971
tldextract|3.4.0|True|tldextract|80.7%|Accurately separates a URL's subdomain, domain, and public suffix, using the Public Suffix List (PSL). By default, this includes the public ICANN TLDs and their exceptions. You can optionally support the Public Suffix List's private domains as well.|6250446
faker|15.1.1|True|faker|32.7%|Faker is a Python package that generates fake data for you.|6217945
gevent|22.10.1|False|gevent|12.4%|Coroutine-based network library|6086850
slackclient|2.9.4|False|slack|33.8%|Slack API clients for Web API and RTM API (Legacy) - Please use https://pypi.org/project/slack-sdk/ instead.|6071392
atomicwrites|1.4.1|False|atomicwrites|15.4%|Atomic file writes.|6030322
hvac|1.0.2|False|hvac|8.9%|HashiCorp Vault API client|5937554
moto|4.0.7|False|moto|20.5%|A library that allows your python tests to easily mock out the boto library|5856247
hdfs|2.7.0|False|hdfs|6.1%|HdfsCLI: API and command line interface for HDFS.|5801203
dask|2022.10.0|True|dask|6.5%|Parallel PyData with Task Scheduling|5783000
torchvision|0.13.1|False|torchvision|39.3%|image and video datasets and models for torch deep learning|5767545
typeguard|2.13.3|True|typeguard|21.5%|Run-time type checker for Python|5754024
